2021-04-01 08:57:27,453 | train | INFO | Epoch 12, Train, Mean loss: 0.038654184009679196, Accuracy: 0.9894028216195323
2021-04-01 08:57:29,752 | train | INFO | Epoch 12, Validation, Mean loss: 0.07872663574478846, Accuracy: 0.9759420289855072
2021-04-01 08:57:29,752 | train | INFO | Early stopper, Validation loss decreased 0.08220785965795453 -> 0.07872663574478846
2021-04-01 08:57:29,753 | train | INFO | Write row 12
2021-04-01 08:57:29,771 | train | INFO | Model saved: /workspace/template_project/image_classification/results/train/DNN_20210401_084551/model.pt
2021-04-01 08:57:29,771 | train | INFO | Update best record row 13, check point s0.08220785965795453 -> 0.07872663574478846
2021-04-01 08:57:30,020 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 08:58:21,110 | train | INFO | Epoch 13, Train, Mean loss: 0.033553151338259944, Accuracy: 0.9911743863943825
2021-04-01 08:58:23,431 | train | INFO | Epoch 13, Validation, Mean loss: 0.08937118018048078, Accuracy: 0.9730434782608696
2021-04-01 08:58:23,431 | train | INFO | Early stopper, Early stopping counter 4/5
2021-04-01 08:58:23,432 | train | INFO | Write row 13
2021-04-01 08:58:23,693 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 08:59:14,376 | train | INFO | Epoch 14, Train, Mean loss: 0.028896040404875544, Accuracy: 0.9925433228113123
2021-04-01 08:59:16,758 | train | INFO | Epoch 14, Validation, Mean loss: 0.07842947443542272, Accuracy: 0.9736231884057971
2021-04-01 08:59:16,759 | train | INFO | Early stopper, Validation loss decreased 0.07872663574478846 -> 0.07842947443542272
2021-04-01 08:59:16,760 | train | INFO | Write row 14
2021-04-01 08:59:16,774 | train | INFO | Model saved: /workspace/template_project/image_classification/results/train/DNN_20210401_084551/model.pt
2021-04-01 08:59:16,774 | train | INFO | Update best record row 15, check point s0.07872663574478846 -> 0.07842947443542272
2021-04-01 08:59:17,092 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 09:00:08,570 | train | INFO | Epoch 15, Train, Mean loss: 0.025692357182489058, Accuracy: 0.993638471944856
2021-04-01 09:00:10,695 | train | INFO | Epoch 15, Validation, Mean loss: 0.08812737994015164, Accuracy: 0.9739130434782609
2021-04-01 09:00:10,695 | train | INFO | Early stopper, Early stopping counter 5/5
2021-04-01 09:00:10,696 | train | INFO | Write row 15
2021-04-01 09:00:10,973 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 09:00:11,123 | train | INFO | Save best record /workspace/template_project/image_classification/results/train/train_best_record.csv
